annee;nom_region;code_region;domaine_de_tension;nb_sites_photovoltaique_enedis;energie_produite_annuelle_photovoltaique_enedis_mwh;nb_sites_eolien_enedis;energie_produite_annuelle_eolien_enedis_mwh;nb_sites_hydraulique_enedis;energie_produite_annuelle_hydraulique_enedis_mwh;nb_sites_bio_energie_enedis;energie_produite_annuelle_bio_energie_enedis_mwh;nb_sites_cogeneration_enedis;energie_produite_annuelle_cogeneration_enedis_mwh;nb_sites_autres_filieres_enedis;energie_produite_annuelle_autres_filieres_enedis_mwh;geom;geo_point_2d
2023;Nouvelle-Aquitaine;75;BT <= 36 kVA;97313;327082.834;16;7.164;23;558.736;;;;;43;304.069;"{""coordinates"": [[[[-1.412478526, 46.184385107], [-1.463131916, 46.202765709], [-1.534938091, 46.20236253], [-1.561260612, 46.237803003], [-1.513198217, 46.257790226], [-1.482088626, 46.247362292], [-1.474229192, 46.233011021], [-1.508431948, 46.226696064], [-1.485326354, 46.207907488], [-1.457810219, 46.228525129], [-1.414650245, 46.230562357], [-1.425359832, 46.20495046], [-1.354547409, 46.205990237], [-1.294149335, 46.187964768], [-1.27859916, 46.144419773], [-1.323796454, 46.145702689], [-1.412478526, 46.184385107]]], [[[-1.387310335, 45.99679041], [-1.410753353, 46.040874035], [-1.370337667, 46.03935439], [-1.320973289, 45.99810505], [-1.234466124, 45.982304205], [-1.241522263, 45.954728224], [-1.224522422, 45.913882454], [-1.188370202, 45.886395993], [-1.207414882, 45.850327972], [-1.195441069, 45.82911684], [-1.235366182, 45.80471186], [-1.268274649, 45.881099925], [-1.385025096, 45.95194807], [-1.387310335, 45.99679041]]], [[[2.281089687, 46.420473176], [2.287678044, 46.382266623], [2.331637085, 46.378056222], [2.309441029, 46.348663097], [2.335880559, 46.323295395], [2.391858138, 46.329985164], [2.476413659, 46.280834518], [2.514624783, 46.23993398], [2.525970093, 46.187579988], [2.559904753, 46.173188668], [2.547699828, 46.110285725], [2.557322772, 46.068774411], [2.602533234, 46.033444917], [2.593220114, 45.990308361], [2.608235963, 45.967420056], [2.569637305, 45.958815178], [2.544253361, 45.93241291], [2.543864826, 45.907480788], [2.491665717, 45.867138673], [2.443163478, 45.866255457], [2.447617305, 45.845628528], [2.389407592, 45.823893905], [2.432470533, 45.787133513], [2.435091631, 45.767329088], [2.484316915, 45.748565909], [2.525761175, 45.693411898], [2.516935664, 45.63913371], [2.483076392, 45.638583489], [2.466031341, 45.593442933], [2.514548867, 45.554369842], [2.520615684, 45.521854053], [2.487856837, 45.419785687], [2.528183392, 45.392002116], [2.485767974, 45.378946888], [2.36954496, 45.416182433], [2.349791039, 45.409602319], [2.369453297, 45.386265181], [2.350674526, 45.327687214], [2.316869873, 45.322702689], [2.194767986, 45.220811108], [2.201101993, 45.180029463], [2.231974799, 45.170197009], [2.182185024, 45.132193389], [2.174626864, 45.082007916], [2.140806561, 45.086779523], [2.095198616, 45.05604461], [2.139764378, 45.007594036], [2.130519702, 44.984152492], [2.045252729, 44.983732593], [1.942459496, 44.956999755], [1.939154938, 44.973334803], [1.908225109, 44.978143805], [1.823330529, 44.927243148], [1.774600313, 44.923560438], [1.647673736, 45.027420823], [1.569972149, 45.039547232], [1.544536114, 45.029041632], [1.528141499, 45.045366329], [1.413448209, 44.999228071], [1.44250948, 44.916150557], [1.413244262, 44.91322671], [1.442294049, 44.87881367], [1.361552779, 44.841069425], [1.364096001, 44.811633821], [1.301515786, 44.797929033], [1.2984796, 44.774219421], [1.322796218, 44.765098638], [1.315827996, 44.740474799], [1.224551345, 44.684265469], [1.146675629, 44.67034613], [1.15380145, 44.639554984], [1.094593226, 44.592343065], [1.103471765, 44.574346117], [0.982716595, 44.545690412], [1.016018208, 44.50653281], [1.020815154, 44.445181298], [1.061975308, 44.41429229], [1.05217606, 44.391742322], [1.064441421, 44.380319529], [1.049668358, 44.362689315], [0.996663988, 44.369149669], [0.977527064, 44.356835304], [0.898002875, 44.381301233], [0.895622453, 44.346263973], [0.873823556, 44.323081721], [0.894251259, 44.297068844], [0.916349323, 44.302341568], [0.950896255, 44.275096468], [0.904744763, 44.196390039], [0.859620079, 44.192940316], [0.852913208, 44.174968475], [0.894212027, 44.143827756], [0.868844825, 44.126431921], [0.788284995, 44.144373796], [0.796620372, 44.114309613], [0.75599157, 44.106915691], [0.741855379, 44.066003579], [0.676184207, 44.026828582], [0.579781069, 44.076609163], [0.555379343, 44.054689376], [0.459983305, 44.055222189], [0.442554613, 44.028709502], [0.381374089, 44.006411251], [0.357821457, 44.016474258], [0.302859041, 43.990972752], [0.214175273, 44.023051921], [0.166701304, 43.997000082], [0.156751093, 43.972574176], [0.138559273, 43.974672316], [0.132003323, 44.001071145], [0.066508176, 43.973247564], [0.05523504, 43.95451005], [0.073096962, 43.918959762], [0.058573924, 43.896773972], [-0.020198016, 43.929988443], [0.005512026, 43.956920377], [-0.036164949, 43.983735935], [-0.081395107, 43.942640442], [-0.1248686, 43.944359531], [-0.229129355, 43.911350537], [-0.238569923, 43.893908994], [-0.195206831, 43.881190797], [-0.208736054, 43.857598043], [-0.194705093, 43.808282994], [-0.217485225, 43.798395723], [-0.212266451, 43.756419848], [-0.195199149, 43.745159413], [-0.250492457, 43.707962997], [-0.239526122, 43.670046249], [-0.281282227, 43.642953801], [-0.277648654, 43.615956669], [-0.247201089, 43.615838235], [-0.247680197, 43.590378611], [-0.097053139, 43.582201894], [-0.088764582, 43.557065601], [-0.044654577, 43.525299051], [-0.0497421, 43.491896178], [-0.031400672, 43.473632861], [-0.058389415, 43.464672319], [-0.069597513, 43.432962974], [-0.046938086, 43.409681375], [-0.017276153, 43.441086654], [0.00965061, 43.422196916], [-0.0042239, 43.372716751], [0.029793992, 43.346114816], [0.010034388, 43.325247476], [-0.025558143, 43.32979101], [-0.046279323, 43.300512881], [-0.016857305, 43.271655542], [-0.045645716, 43.23335148], [-0.072532043, 43.224662361], [-0.068134643, 43.177279807], [-0.117718153, 43.180271269], [-0.146093214, 43.128081376], [-0.198266342, 43.101717746], [-0.185663054, 43.0567936], [-0.2239246, 43.03371085], [-0.258180605, 43.03817685], [-0.266735014, 43.008451574], [-0.293258306, 42.992702219], [-0.279145324, 42.93920533], [-0.325285248, 42.904389266], [-0.307069988, 42.869969884], [-0.313252392, 42.849402544], [-0.390642183, 42.800277423], [-0.41092656, 42.808762688], [-0.443932376, 42.796074127], [-0.501230567, 42.827809943], [-0.522912898, 42.799076174], [-0.567531054, 42.780740291], [-0.569175273, 42.806940523], [-0.59820759, 42.804963331], [-0.60228201, 42.831582113], [-0.678698211, 42.884545339], [-0.731972158, 42.896109616], [-0.730422271, 42.9453003], [-0.751736974, 42.967409059], [-0.810505261, 42.951301473], [-0.945185798, 42.953437809], [-1.019295135, 42.993739773], [-1.072343077, 42.997984415], [-1.114960932, 43.023961127], [-1.131992448, 43.011604789], [-1.164943113, 43.035228023], [-1.229749664, 43.055508045], [-1.247600109, 43.042636429], [-1.309184398, 43.068880115], [-1.292402252, 43.115528633], [-1.346114077, 43.090472426], [-1.353893042, 43.028297456], [-1.441248126, 43.046272442], [-1.47161367, 43.08079094], [-1.415213013, 43.127257037], [-1.383093016, 43.199674596], [-1.382543607, 43.253101463], [-1.406938498, 43.271839554], [-1.438456573, 43.266576779], [-1.532918005, 43.293735794], [-1.575152489, 43.249922016], [-1.608780025, 43.251898742], [-1.630678521, 43.285020689], [-1.62387053, 43.305687424], [-1.668417786, 43.314843342], [-1.730158394, 43.295767262], [-1.753318575, 43.34129232], [-1.783818128, 43.34864971], [-1.790621783, 43.366827838], [-1.68618543, 43.395651518], [-1.666553181, 43.3882282], [-1.599719352, 43.432437098], [-1.445296073, 43.646749797], [-1.308913426, 44.159693585], [-1.249613723, 44.489579559], [-1.256059728, 44.534600203], [-1.205538272, 44.612428317], [-1.194670334, 44.658937225], [-1.083130332, 44.640518213], [-1.007319026, 44.650078497], [-1.050691869, 44.68254643], [-1.053451091, 44.706929329], [-1.159038397, 44.771883869], [-1.224016816, 44.708011862], [-1.245016414, 44.647560236], [-1.260978257, 44.641828538], [-1.160842075, 45.305024374], [-1.155094667, 45.469751469], [-1.093040985, 45.564855518], [-1.060872967, 45.559684461], [-1.039433476, 45.511865882], [-0.803865006, 45.348382802], [-0.68271106, 45.078686105], [-0.608542955, 45.015405336], [-0.590661354, 45.041945354], [-0.635941194, 45.074302774], [-0.667768367, 45.126670671], [-0.734331999, 45.368842331], [-0.801692188, 45.459528524], [-0.992289359, 45.57653961], [-1.020756832, 45.621561494], [-1.042375105, 45.617674677], [-1.2377266, 45.709120392], [-1.243509816, 45.779881545], [-1.134186992, 45.802576338], [-1.161482032, 45.854183893], [-1.121448927, 45.857960802], [-1.080872708, 45.898703489], [-1.069513674, 45.949561809], [-1.083332745, 45.977532133], [-1.053277546, 46.013032529], [-1.060942382, 46.045383516], [-1.089084835, 46.053983398], [-1.100957902, 46.094219452], [-1.163644241, 46.141980742], [-1.163303815, 46.155694266], [-1.221150678, 46.147399713], [-1.230806336, 46.165762961], [-1.199185969, 46.194198826], [-1.199167809, 46.212817193], [-1.111041121, 46.262080296], [-1.127753711, 46.305685775], [-1.013404094, 46.355596584], [-0.951089728, 46.360270867], [-0.943137, 46.337091362], [-0.963144393, 46.322681758], [-0.932641111, 46.310623779], [-0.849768445, 46.317808671], [-0.840347968, 46.340459664], [-0.734629443, 46.305053749], [-0.697309648, 46.325061861], [-0.656322055, 46.315102606], [-0.603107207, 46.361484305], [-0.562032764, 46.359559221], [-0.538473366, 46.38587402], [-0.639655053, 46.410753144], [-0.615889439, 46.460886912], [-0.624977849, 46.497589606], [-0.645371943, 46.508678027], [-0.602234077, 46.533354744], [-0.606417342, 46.563802259], [-0.624638125, 46.575193241], [-0.61162037, 46.588189913], [-0.614996026, 46.622894509], [-0.643552456, 46.638304676], [-0.637518327, 46.662278442], [-0.681084487, 46.68698291], [-0.656197566, 46.700332704], [-0.669320463, 46.717548307], [-0.726276824, 46.765127705], [-0.709387887, 46.821540726], [-0.76665027, 46.834352616], [-0.831234873, 46.886222803], [-0.817044497, 46.903983596], [-0.829149459, 46.933361861], [-0.876041105, 46.955744711], [-0.863054171, 46.972617458], [-0.769334588, 47.002973898], [-0.76262968, 46.992450381], [-0.618916077, 46.992373854], [-0.562147468, 47.030506828], [-0.557552531, 47.064089962], [-0.491239686, 47.082933677], [-0.485332266, 47.063885059], [-0.401197481, 47.070747913], [-0.396061042, 47.091535343], [-0.185265033, 47.108408176], [-0.140142596, 47.097816848], [-0.178854375, 47.070032656], [-0.128788401, 47.054424248], [-0.102100302, 47.065171667], [-0.095117126, 47.095181441], [-0.044252819, 47.093271816], [-0.036094707, 47.125176311], [0.018884377, 47.175990532], [0.053907028, 47.16367895], [0.076424367, 47.12385221], [0.123518832, 47.12849181], [0.135180367, 47.107114727], [0.173763503, 47.112376957], [0.201166083, 47.091296468], [0.175688821, 47.072900276], [0.207955468, 47.053322813], [0.24421536, 47.071502132], [0.267835076, 47.067722802], [0.266911168, 47.044977604], [0.298332251, 47.054037294], [0.311596176, 46.996249847], [0.298081309, 46.983728234], [0.324970655, 46.930548848], [0.366514286, 46.949874286], [0.43864193, 46.929485077], [0.501769997, 46.957071868], [0.598217032, 46.95687491], [0.601634903, 46.972350941], [0.578894971, 46.979460257], [0.572697578, 47.004850531], [0.619938417, 47.007186578], [0.637418819, 46.985457747], [0.691213805, 46.974769934], [0.705319718, 46.902352992], [0.809325343, 46.826201723], [0.811803955, 46.795209579], [0.901781051, 46.736367077], [0.927739775, 46.695998026], [0.909842601, 46.682941549], [0.917900116, 46.650483328], [0.893964621, 46.628637171], [0.915966369, 46.596654044], [1.013477179, 46.56785876], [1.050623615, 46.536005863], [1.107822135, 46.531816895], [1.146622677, 46.505485306], [1.13517798, 46.470960823], [1.206549832, 46.422892334], [1.196926061, 46.401515819], [1.21413409, 46.370250343], [1.303705568, 46.371136703], [1.325807934, 46.395455273], [1.356236714, 46.400155976], [1.440275744, 46.35643309], [1.511044013, 46.420629112], [1.544267981, 46.419064525], [1.546241921, 46.393199681], [1.614538851, 46.406294834], [1.640507711, 46.384658634], [1.683732724, 46.418178379], [1.727060869, 46.390324851], [1.760072088, 46.426973355], [1.747883624, 46.44949874], [1.797141363, 46.454697455], [1.819526733, 46.430026003], [1.981498262, 46.440296381], [2.103377461, 46.409582115], [2.20015929, 46.428115112], [2.281089687, 46.420473176]], [[-0.07519535, 43.307155125], [-0.062955164, 43.349901531], [-0.094381431, 43.374401665], [-0.104363561, 43.359179597], [-0.086659187, 43.33522458], [-0.115434122, 43.332111632], [-0.110626637, 43.312397979], [-0.07519535, 43.307155125]], [[-0.137454027, 43.285603649], [-0.121657237, 43.241067971], [-0.084571708, 43.257703264], [-0.09224462, 43.300681912], [-0.11224927, 43.310346357], [-0.137454027, 43.285603649]]]], ""type"": ""MultiPolygon""}";45.20628663602687,0.21324685182228206
2023;Bretagne;53;BT > 36 kVA;2225;212625.008;0;0.0;8;2045.388;61;59230.817;2;1519.319;5;234.53;"{""coordinates"": [[[[-3.514965986, 47.64747261], [-3.43553969, 47.643753148], [-3.418030809, 47.62570125], [-3.462693023, 47.620324112], [-3.514965986, 47.64747261]]], [[[-3.158279168, 47.292481679], [-3.219636856, 47.293954742], [-3.24942338, 47.316516468], [-3.26149751, 47.367160337], [-3.247998737, 47.38127582], [-3.217888038, 47.378119304], [-3.155640448, 47.361409448], [-3.138257657, 47.328667891], [-3.061570997, 47.314414572], [-3.075767442, 47.286330035], [-3.158279168, 47.292481679]]], [[[-5.141276574, 48.449176154], [-5.10543334, 48.472845519], [-5.047104196, 48.463055457], [-5.058749277, 48.450156618], [-5.141276574, 48.449176154]]], [[[-1.570855606, 48.626238395], [-1.537255094, 48.59892591], [-1.544273979, 48.587133002], [-1.518966714, 48.566669756], [-1.522958296, 48.541988255], [-1.489722033, 48.496177315], [-1.449762341, 48.48754571], [-1.421903419, 48.460343694], [-1.38141007, 48.456760348], [-1.344621644, 48.473141205], [-1.322622349, 48.499480471], [-1.280900003, 48.508373706], [-1.272005345, 48.534253383], [-1.070079831, 48.508817396], [-1.078532922, 48.489466528], [-1.063924211, 48.467308033], [-1.081210169, 48.441137439], [-1.045086589, 48.32780932], [-1.102031967, 48.262862431], [-1.049751875, 48.090127897], [-1.021359658, 48.068399373], [-1.034977945, 48.033536351], [-1.022666842, 47.994218949], [-1.101320158, 47.989315397], [-1.160459864, 47.957577943], [-1.189050041, 47.867213966], [-1.239923314, 47.80655914], [-1.246169893, 47.77685223], [-1.365056274, 47.799102778], [-1.381917624, 47.823595829], [-1.479908506, 47.835182775], [-1.467157916, 47.809817009], [-1.625514694, 47.760564592], [-1.654665358, 47.712394305], [-1.707349228, 47.714391924], [-1.722120172, 47.698349366], [-1.862083506, 47.707694433], [-1.953535689, 47.672309726], [-1.969034659, 47.68976503], [-2.081513955, 47.650124984], [-2.096678011, 47.632071796], [-2.085097954, 47.62183015], [-2.101807257, 47.596255918], [-2.098833051, 47.533450021], [-2.156044999, 47.522017991], [-2.154251322, 47.496447775], [-2.181105742, 47.491119744], [-2.190104858, 47.512257311], [-2.243765237, 47.493888307], [-2.261287424, 47.513783707], [-2.2941278, 47.513954398], [-2.317449469, 47.461142146], [-2.398326509, 47.455933964], [-2.41816972, 47.47252704], [-2.479600396, 47.441467784], [-2.499977182, 47.458126574], [-2.43950243, 47.498711189], [-2.517854399, 47.526974394], [-2.622258364, 47.504573142], [-2.664457479, 47.518701983], [-2.679735378, 47.493889627], [-2.715845253, 47.506074488], [-2.814913526, 47.486799244], [-2.850133706, 47.498547804], [-2.847186279, 47.51216418], [-2.892502232, 47.54262975], [-2.879177921, 47.556701364], [-2.733171681, 47.542693889], [-2.717615983, 47.598636494], [-2.778426019, 47.619002536], [-2.847965373, 47.61792571], [-2.947861327, 47.579397116], [-2.929522389, 47.554336917], [-2.963800826, 47.557028224], [-2.982162609, 47.578721895], [-3.088663639, 47.564987168], [-3.100639317, 47.579995367], [-3.134127859, 47.542427268], [-3.105544884, 47.473678323], [-3.14418842, 47.48453893], [-3.15447385, 47.523428981], [-3.134377104, 47.547297719], [-3.1399507, 47.579820085], [-3.159864053, 47.607374897], [-3.283734032, 47.685867113], [-3.288206823, 47.70319995], [-3.450519543, 47.695205443], [-3.533067416, 47.767028975], [-3.682217842, 47.77713172], [-3.72309901, 47.79914525], [-3.838455914, 47.797506645], [-3.958847324, 47.897161519], [-3.990056253, 47.88295822], [-3.977563128, 47.853808163], [-4.120622575, 47.864655475], [-4.161823597, 47.849364589], [-4.176423825, 47.872437328], [-4.200662657, 47.860011467], [-4.165975664, 47.814046846], [-4.195906595, 47.796681578], [-4.368657145, 47.79629777], [-4.380082041, 47.821700252], [-4.346232616, 47.839761805], [-4.362418131, 47.88664498], [-4.450900612, 47.981007608], [-4.536981564, 48.011892059], [-4.566094624, 47.999676633], [-4.728341033, 48.035218755], [-4.663065429, 48.069320855], [-4.362200113, 48.109180661], [-4.305570114, 48.089109032], [-4.286834314, 48.103169811], [-4.272480043, 48.151511089], [-4.295771796, 48.165404515], [-4.304408422, 48.196435734], [-4.334801641, 48.207107912], [-4.368643443, 48.205249598], [-4.464402639, 48.23948693], [-4.497349492, 48.233630121], [-4.539185709, 48.170978333], [-4.560272898, 48.21986896], [-4.558667753, 48.259024272], [-4.613280375, 48.262144866], [-4.566144626, 48.288145273], [-4.579727234, 48.318761951], [-4.545301964, 48.325175923], [-4.553215253, 48.294792972], [-4.503225161, 48.281046293], [-4.450207054, 48.29253716], [-4.380393934, 48.27560158], [-4.306431538, 48.297590605], [-4.26040107, 48.279879414], [-4.228800568, 48.296606099], [-4.324546565, 48.32345375], [-4.327413678, 48.340912193], [-4.366775207, 48.345022872], [-4.374758272, 48.326347894], [-4.447919567, 48.335524986], [-4.400913099, 48.390027472], [-4.426745073, 48.39762735], [-4.44257476, 48.379705941], [-4.462712857, 48.385406273], [-4.628012999, 48.337649792], [-4.681008682, 48.355730082], [-4.709821048, 48.330724571], [-4.773727272, 48.330066161], [-4.778293631, 48.364462997], [-4.761402977, 48.3716981], [-4.795406011, 48.41484875], [-4.770853573, 48.460972971], [-4.777210313, 48.505021493], [-4.750487955, 48.543382022], [-4.687617173, 48.572390841], [-4.612617625, 48.572870871], [-4.549433416, 48.602078238], [-4.569063766, 48.610448419], [-4.544997773, 48.63092309], [-4.479608987, 48.623704079], [-4.346331471, 48.677369924], [-4.296264337, 48.664578866], [-4.316050915, 48.637719974], [-4.296171369, 48.63289462], [-4.183998555, 48.687370269], [-4.074714195, 48.686287007], [-4.035216319, 48.7131677], [-4.00079485, 48.711604586], [-3.952128355, 48.663485021], [-3.907471559, 48.669423136], [-3.897722032, 48.646422888], [-3.847358862, 48.630491646], [-3.855043367, 48.671506195], [-3.841786007, 48.706395163], [-3.820131965, 48.713635391], [-3.722512109, 48.706189522], [-3.702839282, 48.690477349], [-3.582689943, 48.670306383], [-3.580959223, 48.721347393], [-3.552934882, 48.727232398], [-3.550427211, 48.748711322], [-3.585449825, 48.7693393], [-3.548135303, 48.81423479], [-3.510479468, 48.828141819], [-3.437458326, 48.811205885], [-3.440471692, 48.798595143], [-3.398132441, 48.800597902], [-3.322466527, 48.837710642], [-3.253887806, 48.842604289], [-3.238142821, 48.86656153], [-3.219898383, 48.866682159], [-3.203664136, 48.835061386], [-3.085107614, 48.867115806], [-3.091477496, 48.832609506], [-3.053321222, 48.815349698], [-3.017397747, 48.821383233], [-3.008509898, 48.804147971], [-3.02916744, 48.77639843], [-2.932049269, 48.753123293], [-2.948566508, 48.726056306], [-2.827378341, 48.654029988], [-2.821340609, 48.59438281], [-2.71290812, 48.553066757], [-2.723236471, 48.5301167], [-2.684651708, 48.49833592], [-2.55184296, 48.592714424], [-2.473743022, 48.622132395], [-2.467689865, 48.650048348], [-2.415522339, 48.636427046], [-2.331820899, 48.670373334], [-2.288966356, 48.667335885], [-2.316814188, 48.610411112], [-2.259686593, 48.645516685], [-2.201896725, 48.584110984], [-2.175683753, 48.57643007], [-2.158779017, 48.58741653], [-2.166723446, 48.604196313], [-2.136612313, 48.612838574], [-2.151453882, 48.629748123], [-2.05673601, 48.640137642], [-2.033147797, 48.627216813], [-2.010658693, 48.571183002], [-1.972174678, 48.534828825], [-1.967768318, 48.592193576], [-2.012337675, 48.598241801], [-2.028789918, 48.650153986], [-1.932996579, 48.694264617], [-1.854064922, 48.706079584], [-1.837260749, 48.679367402], [-1.871911983, 48.647452373], [-1.839837135, 48.61406979], [-1.765653397, 48.603219039], [-1.570855606, 48.626238395]]]], ""type"": ""MultiPolygon""}";48.17709593599182,-2.8426105941097264
